time,error,deltaError,fuzzy_control,sensor_0,sensor_1,sensor_2,sensor_3,motor_L,motor_R,pos_x,pos_y
0.06,36.24,36.24,3.97,63.66,69.73,63.76,68.32,1.57,-3.14,0.37,-0.01
0.13,28.27,-7.96,-3.11,67.79,68.71,71.73,70.27,4.72,6.28,0.38,-0.01
0.19,37.28,9.01,2.14,69.65,66.60,62.72,66.82,1.57,-3.14,0.38,-0.00
0.26,35.03,-2.25,-2.51,62.82,67.04,64.97,67.43,1.57,-3.14,0.38,-0.00
0.32,36.27,1.24,-0.94,72.76,68.85,63.73,66.48,1.57,-3.14,0.37,-0.01
0.38,42.60,6.33,1.85,66.84,60.78,57.40,68.63,1.57,-3.14,0.37,-0.01
0.45,28.11,-14.50,-3.11,67.06,72.76,71.89,65.89,4.72,6.28,0.37,-0.01
0.51,32.87,4.77,1.17,71.16,66.83,67.13,66.33,1.57,-3.14,0.37,-0.00
0.58,38.65,5.77,1.61,70.14,69.07,61.35,69.83,1.57,-3.14,0.37,-0.00
0.64,25.88,-12.77,-3.11,63.28,63.42,74.12,68.46,4.73,6.28,0.37,-0.00
0.70,30.32,4.44,1.10,68.10,69.42,69.68,65.88,1.57,-3.14,0.38,0.00
0.77,39.66,9.34,2.28,68.16,66.61,60.34,64.82,1.57,-3.14,0.38,0.01
0.83,37.82,-1.84,-2.31,66.62,68.68,62.18,61.46,1.57,-3.14,0.37,0.01
0.90,33.98,-3.84,-3.11,69.81,65.17,66.02,71.24,4.72,6.28,0.37,0.00
0.96,30.70,-3.27,-3.11,67.51,67.67,69.30,62.07,1.57,-3.14,0.38,0.01
1.02,32.88,2.17,-0.47,72.06,73.66,67.12,63.06,6.04,6.28,0.38,0.01
1.09,30.67,-2.21,-2.44,61.21,66.11,69.33,67.38,1.57,-3.14,0.38,0.01
1.15,36.02,5.36,1.43,62.10,67.03,63.98,62.78,1.57,-3.14,0.38,0.01
1.22,32.06,-3.96,-3.11,67.69,68.85,67.94,68.93,1.57,-3.14,0.37,0.01
1.28,34.23,2.16,-0.47,63.68,66.65,65.77,69.24,1.57,-3.14,0.38,0.01
1.34,37.12,2.89,0.11,67.99,72.49,62.88,62.22,6.28,6.23,0.37,0.01
1.41,32.00,-5.12,-3.11,67.52,63.62,68.00,67.17,1.57,-3.14,0.38,0.02
1.47,37.52,5.52,1.50,63.59,70.76,62.48,67.76,6.28,5.53,0.38,0.02
1.54,27.75,-9.76,-3.11,70.30,68.11,72.25,68.84,4.72,6.28,0.39,0.02
1.60,33.53,5.78,1.61,61.14,71.63,66.47,73.18,6.28,5.47,0.39,0.02
1.66,29.88,-3.65,-3.11,61.60,66.83,70.12,64.93,4.72,6.28,0.40,0.02
1.73,30.95,1.07,-1.08,71.78,66.98,69.05,66.13,1.57,-3.14,0.41,0.03
1.79,35.92,4.96,1.26,66.05,69.52,64.08,67.38,1.57,-3.14,0.41,0.03
1.86,35.29,-0.62,-1.76,68.19,62.74,64.71,64.83,1.57,-3.14,0.40,0.03
1.92,31.97,-3.33,-3.11,67.39,69.15,68.03,73.28,4.72,6.28,0.40,0.03
1.98,31.89,-0.07,-1.52,70.06,68.46,68.11,69.47,1.57,-3.14,0.41,0.03
2.05,35.02,3.13,0.31,68.27,63.98,64.98,69.80,1.57,-3.14,0.41,0.03
2.11,31.17,-3.85,-3.11,61.08,64.82,68.83,67.67,1.57,-3.14,0.41,0.03
2.18,33.46,2.30,-0.37,67.84,64.96,66.54,65.63,1.57,-3.14,0.41,0.03
2.24,31.54,-1.92,-2.28,66.71,69.58,68.46,69.18,1.57,-3.14,0.41,0.03
2.30,34.41,2.87,0.09,63.93,67.55,65.59,70.75,6.28,6.23,0.41,0.03
2.37,40.08,5.67,1.56,68.88,67.97,59.92,70.44,6.28,5.50,0.41,0.03
2.43,26.66,-13.42,-3.11,64.86,64.38,73.34,66.58,4.73,6.28,0.42,0.03
2.50,37.94,11.28,2.00,108.80,64.22,62.06,65.25,-3.14,1.57,0.43,0.03
2.56,35.30,-2.64,-2.78,113.13,69.09,64.70,62.68,-3.14,1.57,0.43,0.02
2.62,40.43,5.13,1.33,107.62,66.95,59.57,69.19,-3.14,1.57,0.43,0.02
2.69,30.34,-10.09,-3.11,116.08,65.54,69.66,72.69,-3.14,1.57,0.43,0.02
2.75,30.07,-0.27,-1.61,130.26,76.27,69.93,67.35,-3.14,1.57,0.42,0.02
2.82,33.21,3.14,0.33,122.08,92.45,66.79,67.94,-3.14,1.57,0.42,0.02
2.88,41.25,8.04,2.37,124.06,107.56,58.75,63.26,-3.14,1.57,0.42,0.02
2.94,32.20,-9.05,-3.11,120.37,109.86,67.80,67.25,-3.14,1.57,0.42,0.02
3.01,32.81,0.61,-1.22,111.49,115.28,67.19,62.23,-3.14,1.57,0.42,0.02
3.07,30.59,-2.22,-2.44,102.32,117.12,69.41,69.82,-3.14,1.57,0.42,0.02
3.14,35.31,4.72,1.15,91.38,106.68,64.69,70.96,-3.14,1.57,0.42,0.01
3.20,23.97,-11.34,-3.11,67.63,118.23,76.03,65.34,4.73,6.28,0.42,0.01
3.26,35.16,11.19,1.89,95.92,139.56,64.84,68.31,-3.14,1.57,0.43,0.02
3.33,12.00,-23.16,-3.12,62.14,136.71,88.00,70.57,4.72,6.28,0.43,0.02
3.39,-0.91,-12.92,-3.12,70.21,139.33,100.91,56.30,4.72,6.28,0.43,0.02
3.46,-18.92,-18.01,-3.39,78.21,153.56,118.92,63.57,-3.14,1.57,0.43,0.03
3.52,-28.59,-9.66,-3.69,60.90,133.57,128.59,66.08,4.44,6.28,0.43,0.03
3.58,-52.71,-24.12,-5.27,72.45,133.50,152.71,70.08,3.65,6.28,0.44,0.03
3.65,-62.54,-9.82,-5.21,68.74,148.38,162.54,80.23,3.68,6.28,0.44,0.04
3.71,-72.88,-10.35,-5.11,60.29,150.25,172.88,69.60,3.73,6.28,0.44,0.04
