error,deltaError,fuzzy_control,sensor_0,sensor_1,sensor_2,sensor_3,motor_L,motor_R
-166.13,-166.13,-5.28,63.66,144.74,266.13,68.32,3.64,6.28
-244.12,-78.00,-5.28,67.79,174.06,344.12,70.27,3.64,6.28
-240.98,3.15,-4.78,69.65,222.76,340.98,66.82,3.89,6.28
-260.37,-19.40,-5.28,62.82,263.70,360.37,67.43,3.64,6.28
-321.38,-61.01,-5.28,72.76,246.11,421.38,66.48,3.64,6.28
-353.57,-32.19,-5.28,66.84,212.17,453.57,68.63,3.64,6.28
-446.57,-93.01,-5.28,67.06,204.16,546.57,89.56,3.64,6.28
-414.04,32.54,-0.00,71.16,190.85,514.04,97.33,6.28,6.28
-383.41,30.63,-0.00,70.14,223.27,483.41,70.42,6.28,6.28
-452.81,-69.40,-5.28,63.28,229.82,552.81,68.46,3.64,6.28
-424.21,28.60,-0.00,68.10,223.61,524.21,85.63,6.28,6.28
-360.05,64.16,-0.00,68.16,229.12,460.05,71.61,6.28,6.28
-384.98,-24.93,-5.28,66.62,244.80,484.98,61.46,3.64,6.28
-436.03,-51.05,-5.28,69.81,211.58,536.03,94.64,3.64,6.28
-454.92,-18.89,-5.28,67.51,180.64,554.92,103.32,3.64,6.28
-414.13,40.79,-0.00,72.06,166.65,514.13,110.32,6.28,6.28
-399.77,14.36,-3.01,61.21,190.08,499.77,93.57,4.78,6.28
-368.92,30.85,-0.00,62.10,191.05,468.92,90.28,6.28,6.28
-355.68,13.24,-3.12,67.69,203.32,455.68,82.34,4.72,6.28
-318.94,36.75,-0.00,63.68,189.95,418.94,90.70,6.28,6.28
-285.51,33.42,-0.00,67.99,202.37,385.51,70.98,6.28,6.28
-321.43,-35.92,-5.28,67.52,195.52,421.43,67.17,3.64,6.28
-321.67,-0.24,-5.10,63.59,176.56,421.67,91.60,3.73,6.28
-328.16,-6.49,-5.28,70.30,150.48,428.16,109.74,3.64,6.28
-275.41,52.76,-0.00,61.14,139.95,375.41,122.45,6.28,6.28
-260.99,14.42,-2.96,61.60,131.32,360.99,106.06,4.80,6.28
-232.48,28.52,-0.00,71.00,119.61,332.48,106.25,6.28,6.28
-199.25,33.23,-0.00,66.05,122.68,299.25,97.53,6.28,6.28
-182.93,16.32,-1.89,68.19,111.86,282.93,76.16,5.33,6.28
-181.34,1.60,-5.23,67.39,116.65,281.34,80.16,3.67,6.28
-168.23,13.11,-3.12,70.06,107.48,268.23,97.38,4.72,6.28
